"title","url","content","authors","publish_date","keywords","summary","sentiment"
"Alphabet: The AI Leader OpenAI Is Still Chasing (NASDAQ:GOOG)","https://seekingalpha.com/article/4830520-alphabet-the-ai-leader-openai-is-still-chasing","When Elon Musk, Sam Altman, and others co-founded OpenAI back in 2015 they said the reason was to create a non-profit to develop artificial intelligence ""in the way that is most likely to benefit humanity as a whole."" However, the real reason may well haveMichael Fitzsimmons is a retired electronics engineer and avid investor. He advises investors to construct a well-diversified portfolio built on a core foundation of a high-quality low-cost S&P500 fund. For investors who can tolerate short-term risks, he advises an over-weight position in the technology sector, which he believes is still in the early stages of a long-term secular bull-market. For dividend income, and as a 4th generation oil & gas man, Fitzsimmons suggests investors consider a position in large O&G companies that provide strong dividend income and dividend growth. Fitzsimmons' articles on portfolio management recommend a top-down capital allocation approach that is aligned with each individual investor's personal situation (i.e. age, retired/working, risk tolerance, income, net worth, goals, etc) and might include allocations into investment categories such as the S&P500, technology, dividend income, sector ETFs, growth, speculative growth, gold, and cash.Analystâs Disclosure:I/we have a beneficial long position in the shares of AVGO, GOOG, AMZN either through stock ownership, options, or other derivatives. I wrote this article myself, and it expresses my own opinions. I am not receiving compensation for it (other than from Seeking Alpha). I have no business relationship with any company whose stock is mentioned in this article.I am an electronics engineer, not a CFA. The information and data presented in this article were obtained from company documents and/or sources believed to be reliable, but have not been independently verified. Therefore, the author cannot guarantee their accuracy. Please do your own research and contact a qualified investment advisor. I am not responsible for the investment decisions you make.Seeking Alpha's Disclosure: Past performance is no guarantee of future results. No recommendation or advice is being given as to whether any investment is suitable for a particular investor. Any views or opinions expressed above may not reflect those of Seeking Alpha as a whole. Seeking Alpha is not a licensed securities dealer, broker or US investment adviser or investment bank. Our analysts are third party authors that include both professional investors and individual investors who may not be licensed or certified by any institute or regulatory body.","[]","2025-10-16 13:30:12-04:00","['income', 'chasing', 'investors', 'openai', 'ai', 'technology', 'fitzsimmons', 'dividend', 'nasdaqgoog', 'seeking', 'growth', 'position', 'alpha', 'alphabet', 'investment', 'leader']","","0"
"Jeff Bezos-Backed Anthropic Projects To Nearly Triple Revenues By 2026: Report","https://www.benzinga.com/markets/tech/25/10/48244996/jeff-bezos-backed-anthropic-projects-to-nearly-triple-revenues-by-2026-report","Anthropic, the artificial intelligence (AI) startup, backed by Alphabet’s (NASDAQ:GOOGL) (NASDAQ:GOOG) Google and Amazon.com (NASDAQ:AMZN), is reportedly projecting to more than double and potentially nearly triple its annualized revenue run rate next year.Enterprise Demand Drives The BoomThe company is projected to reach its internal goal of a $9 billion annual revenue run rate by the end of 2025 and is aiming for over $20 billion in annualized revenue in its base scenario and up to $26 billion in its best-case scenario for the next year, according to a Reuters report on Wednesday.The growth is fueled by strong demand from enterprise clients, the report said.The company also revealed that its annual revenue run rate is nearing $7 billion this month, up from over $5 billion reported in August, it added.Anthropic did not immediately respond to Benzinga‘s request for comment.On Wednesday, Anthropic also launched an updated version of its most affordable AI model, Haiku, aiming to attract businesses seeking powerful AI at a fraction of the cost of its more advanced offerings.See Also: Trump Says He Wasn’t Happy India Was Buying Russian Oil And Now Modi Has Agreed To Stop Doing It: ‘Big Step’Rapid Growth Amid Fundraising And Rising ValuationsThe company’s explosive growth comes on the back of its valuation, which surged last month to $183 billion after a $13 billion funding round.Anthropic’s rapid growth has also sparked a debate about the durability of its enterprise-driven path compared to the consumer hype surrounding other AI models. Despite not dominating the consumer market like OpenAI’s ChatGPT, Anthropic has quietly secured a significant share of the enterprise market.Meanwhile, OpenAI has reportedly revealed its five-year plan to pursue new revenue streams, secure debt partnerships, and raise funds to support its $1 trillion spending commitment.Loading... Loading...READ NEXT:Image via ShutterstockDisclaimer: This content was partially produced with the help of AI tools and was reviewed and published by Benzinga editors.","['Namrata Sen']","","['run', 'report', 'anthropic', 'revenue', 'nasdaqgoog', 'triple', 'scenario', 'billion', 'nearly', 'projects', 'revenues', 'revealed', 'nasdaqamzn', 'ai', 'rate', 'reportedly', 'growth', 'jeff', 'bezosbacked']","","1"
"Least shorted S&P 500 stocks in September","https://seekingalpha.com/news/4504371-least-shorted-s-and-p-500-stocks-in-september","Chubb (CB) was the least shorted S&P 500 (SP500) stock as a percentage of float at the end of September.Short interest in the insurer declined to 0.66% as of September 30, from 0.84% at the end of August. The stock has remained largely","[]","2025-10-15 12:58:51-04:00","['end', 'shorted', 'stocks', 'sp500', 'interest', 'septembershort', 'stock', 'largely', 'percentage', 'remained', '500', 'sp']","","-1"
"Seeking Alpha's top Quant picks in Communication Services sector ahead of Q3 earnings","https://seekingalpha.com/news/4503961-seeking-alphas-top-quant-picks-in-communication-services-sector-ahead-of-q3-earnings","The S&P 500âs Communication Services (NYSEARCA:XLC) was one of the highest growing sectors during the third quarter, driven by strong performance from mega-caps and investorsâ enthusiasm for AI investments.The sector, which holds 9% weightage on the S&P500 and boasts of companies including","[]","2025-10-14 10:46:20-04:00","['weightage', 'strong', 'earnings', 'sp500', 'q3', 'nysearcaxlc', 'sector', 'communication', 'seeking', 'picks', 'alphas', 'quarter', 'performance', 'sectors', 'ahead', 'sp', 'services', 'quant']","","1"
"Chamath Palihapitiya Says Hyperscalers Like Microsoft, Google Need To Cushion Rising Power Bills Or 'See A Lot More Pushback'","https://www.benzinga.com/markets/tech/25/10/48164146/chamath-palihapitiya-says-hyperscalers-like-microsoft-google-need-to-cushion-rising-power-bills-or-see-a-lot-more-pushback","On Friday, venture capitalist Chamath Palihapitiya warned that Big Tech firms such as Microsoft Corp. (NASDAQ:MSFT) and Alphabet Inc. (NASDAQ:GOOG) (NASDAQ:GOOGL) could face growing backlash from local communities unless they act to offset rising electricity rates tied to massive AI data center expansion.Microsoft Cancels Wisconsin Project Amid Local OppositionMicrosoft has scrapped plans to build a large-scale data center in Caledonia, Wisconsin, following pushback from residents and local officials concerned about energy use and infrastructure strain.""Based on the community feedback we heard, we have chosen not to move forward with this site,"" Microsoft told the Milwaukee Journal Sentinel, noting it still plans to invest elsewhere in Racine County.The canceled project, known as Project Nova, would have spanned 244 acres and included a 15-acre substation, raising concerns about potential spikes in power bills and disruptions to local grids.The decision follows Google's reported decision last month to withdraw a proposed $468-acre data center project in Indiana after similar community objections.See Also: Elon Musk Becomes First Person Worth $500 Billion, Tesla CEO’s Wealth Is Now Larger Than Palantir, AlibabaPalihapitiya: Hyperscalers Must Pay Their ShareCommenting on the rising opposition, Palihapitiya said on X, formerly Twitter, that pushback against data centers is just getting started.He said hyperscalers need to get serious about adding clean energy capacity or risk community revolts.""The simple solution for hyperscalers is as follows,"" Palihapitiya wrote. ""Option A: agree to a higher rate base with the utility so that local citizens won't see increased electricity rates. Option B: agree to pay for residential solar and storage for local citizens.""He warned that unless companies like Microsoft and Google use their ""gobs of free cash flow"" to cushion ratepayer inflation, ""you should expect to see a lot more pushback.""Microsoft scores strongly in Benzinga's Edge Stock Rankings for Momentum, Growth, and Quality, with positive trends across short, medium and long-term performance. Get a full breakdown of the stock, including comparisons with its peers and competitors.Loading... Loading...Read More:Disclaimer: This content was partially produced with the help of AI tools and was reviewed and published by Benzinga editors.Image via Shutterstock","['Ananya Gairola']","","['microsoft', 'hyperscalers', 'lot', 'project', 'need', 'data', 'palihapitiya', 'nasdaqgoog', 'power', 'nasdaqgoogl', 'local', 'center', 'community', 'wisconsin', 'rising', 'warned', 'alphabet', 'pushback']","","-1"
