Name
DISH
EBAY
WBA
PENN
EXR
TPR
NVDA
BEN
CPAY
AMD
MO
IDXX
TYL
BKR
STE
AFL
UTX
TT
CVS
FB
TIF
NOC
DASH
CE
TDG
HBI
STT
OGN
EL
UAL
PODD
JBL
AMCR
LYB
GE
TXT
IT
PCG
IFF
LYV
PNW
WRK
INTC
FFIV
HIG
AON
PSKY
EME
BBY
GPC
ANSS
ALL
NCLH
BMY
QCOM
PSX
CME
FBHS
PVH
HLT
FITB
BALL
BXP
IQV
LB
ADM
HPE
WY
ODFL
TKO
TWTR
LEG
WBD
ARE
HRL
INCY
LW
QRVO
SYF
LII
NLOK
GEHC
WEC
PH
CRWD
VNT
UPS
CDNS
SBAC
HSY
BLL
FTV
APA
AXP
PKG
TTWO
HUM
ADI
LIN
STX
SIVB
TJX
PYPL
SMCI
VRSK
LHX
DTE
XLNX
MSCI
EPAM
NUE
TROW
VICI
MPWR
HST
KSS
CPRT
SOLS
AVGO
SW
DE
ISRG
BKNG
AAPL
PLD
NXPI
DOV
VAR
SCHW
CF
XRAY
TSN
XRX
EMR
TTD
DXCM
AES
ALGN
PANW
CTAS
BAX
HAS
ILMN
CDW
BSX
NRG
OTIS
WTW
AKAM
CMG
CTVA
ED
TRV
RCL
TFX
DHR
SOLV
AIV
DRI
KMI
MKTX
MDLZ
ECL
NI
DVA
EFX
ANET
MMM
BK
KEYS
CTLT
ABC
FIS
MTCH
CTXS
MMC
STZ
XOM
JWN
FLS
APTV
DOC
LNT
ABMD
ACGL
EXE
GL
META
APD
HD
GPN
AMTM
CI
WDC
SPG
LOW
PAYX
ROL
EVRG
UBER
PNR
INVH
TGT
MXIM
FLT
VZ
D
POOL
FCX
EOG
MCHP
AME
ATO
LMT
CSX
JNJ
KMX
EIX
LKQ
FLIR
EQIX
ROP
IR
PARA
SBNY
NDAQ
CLX
DVN
NTRS
BR
CNC
BG
DAL
URI
HAL
AVY
RF
CAG
COO
CARR
HPQ
SHW
LULU
FDX
HOG
NSC
VIAC
TRMB
HES
TRGP
SRE
NFLX
GRMN
HII
VLTO
DIS
SPGI
SO
LLY
HP
CSCO
ORLY
NLSN
FRT
USB
EA
ICE
KEY
AMT
DPZ
LEN
MA
ULTA
SWKS
DFS
KDP
CVX
IRM
ZBH
PRGO
C
WRB
UA
L
MTD
MDT
ENPH
XYL
WST
CL
AGN
MPC
WMT
AIG
CEG
UAA
MKC
CNP
MSI
DELL
AXON
OMC
J
BLDR
ERIE
HWM
WMB
VTR
TDY
AJG
CMCSA
WU
BIO
SWK
EW
V
PG
ABBV
BAC
ATVI
STLD
UHS
CRM
PM
MRNA
BA
CHD
NEE
BDX
T
CAH
NVR
ZION
FOXA
ZBRA
CERN
JNPR
RHI
ROK
CCI
PFG
MHK
PLTR
NWS
DAY
PEAK
MAS
NWSA
VRTX
VFC
A
EMN
ETR
JBHT
CBOE
HCA
DISCK
PPL
ADSK
DRE
JKHY
MNST
ELV
DG
DXC
AVB
RL
AEP
WFC
WELL
JPM
CINF
PEP
ANTM
LVS
SNPS
TECH
DGX
HFC
NOV
AIZ
REG
EQT
BF.B
FISV
ITW
VNO
NWL
ADBE
DOW
KVUE
KO
EXPD
AMZN
AWK
GOOG
BWA
PNC
ADP
RTX
PTC
MLM
XYZ
EXC
TMUS
VMC
PWR
TMO
ROST
XEL
AAP
ETFC
BRO
MAA
BX
IP
DDOG
YUM
SYK
SLB
FMC
NEM
FDS
NDSN
PAYC
WM
EXPE
AMGN
UNM
CTRA
MOS
FRC
MSFT
ETSY
CDAY
RVTY
KR
TAP
NTAP
APP
DD
LRCX
MOH
NOW
CPRI
FOX
GILD
PCAR
PEG
LNC
WLTW
MRO
HRB
GOOGL
COTY
COG
HSIC
PHM
ABNB
SYY
VLO
IBM
WHR
VRSN
CTSH
MTB
FAST
SNA
TER
FI
ALB
ETN
CPT
TSCO
FSLR
BRK.B
TEL
HON
WAB
SEDG
GDDY
COIN
PBCT
AMAT
ES
APH
ORCL
INFO
HUBB
GS
RSG
SJM
GEN
AOS
TXN
CMI
MYL
MGM
MS
UNH
PKI
ESS
CHRW
FE
ZTS
GLW
DISCA
HBAN
MCD
WDAY
ADS
ALK
IPG
SEE
CZR
TFC
CHTR
KMB
CSGP
M
GM
IVZ
WAT
PGR
COR
FICO
KIM
ACN
RTN
LUV
F
DLR
CPB
GWW
UNP
KSU
TSLA
CCL
MAR
GPS
K
AZO
DHI
MU
RE
BBWI
REGN
MRK
COST
FTNT
PXD
RJF
GNRC
RMD
FTI
GD
KLAC
SLG
KHC
CAT
UDR
IBKR
COF
DUK
MCK
ALLE
IEX
EG
VST
BIIB
HOLX
NBL
GIS
CRL
CFG
OXY
LH
KKR
O
SBUX
AMP
CBRE
PPG
APO
AAL
TPL
PSA
CXO
FANG
HOOD
ABT
CB
DECK
VTRS
BLK
ARNC
JCI
WSM
GEV
INTU
EQR
AEE
IPGP
WYNN
MCO
COP
PRU
MET
ALXN
CMA
PFE
NKE
LDOS
DLTR
CTL
CMS
ON
LUMN
OKE
