stock
DELL stock
Tapestry Inc.
PRU
American Tower
ORLY O'Reilly stock
LNT
Parker-Hannifin
SBUX
ConocoPhillips
PepsiCo
Delta Air Lines
Blackstone
Bank of America BAC
VRTX
UDR
Moody's MCO
Norfolk Southern NSC
AMAT stock
TYL
Mastercard MA
JNJ
PulteGroup PHM
Dover DOV
CDW
Moderna stock
Federal Realty
EA stock
LMT
Agilent A
SNPS
