date,avg_sentiment
2020-01-02,-0.5
2020-01-08,0.0
2020-01-20,0.0
2020-01-24,-1.0
2020-02-04,0.0
2020-02-19,0.0
2020-02-28,0.0
2020-03-06,0.0
2020-03-16,0.0
2020-03-19,0.0
2020-03-31,0.0
2020-04-17,0.0
2020-04-27,0.0
2020-05-05,1.0
2020-06-01,1.0
2020-06-15,0.0
2020-07-07,0.0
2020-08-21,0.0
2020-10-08,1.0
2020-10-13,0.0
2020-10-19,1.0
2020-10-22,1.0
2020-10-29,0.0
2020-11-12,1.0
2020-11-16,0.0
2020-12-04,-1.0
2021-02-03,0.0
2021-02-17,0.0
2021-02-21,0.0
2021-02-23,-1.0
2021-03-10,1.0
2021-04-21,1.0
2021-04-22,0.0
2021-04-29,-1.0
2021-04-30,0.0
2021-05-04,0.0
2021-05-11,0.0
2021-05-13,0.0
2021-05-14,-1.0
2021-05-21,-1.0
2021-06-01,0.0
2021-06-01,0.0
2021-06-02,1.0
2021-06-09,1.0
2021-07-08,0.0
2021-07-20,0.0
2021-07-27,0.0
2021-08-17,1.0
2021-08-18,0.0
2021-08-23,0.0
2021-10-06,0.0
2021-10-09,0.0
2021-10-12,0.0
2021-10-20,0.0
2021-11-09,0.0
2021-12-01,0.0
2021-12-02,-0.5
2021-12-15,0.0
2021-12-17,0.0
2021-12-25,0.0
2022-01-25,0.0
2022-02-18,0.0
2022-02-21,0.0
2022-02-23,0.0
2022-03-02,0.0
2022-03-09,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-29,0.0
2022-04-07,0.0
2022-04-20,0.0
2022-04-29,0.0
2022-05-01,0.0
2022-05-04,0.0
2022-05-12,0.0
2022-05-27,-0.5
2022-06-02,0.0
2022-06-07,0.0
2022-06-10,0.0
2022-06-16,0.0
2022-06-24,-1.0
2022-07-29,1.0
2022-08-12,0.0
2022-09-05,0.0
2022-09-22,0.0
2022-09-26,0.0
2022-09-30,0.0
2022-10-05,0.0
2022-10-31,1.0
2022-11-01,0.0
2022-11-02,0.0
2022-11-03,0.0
2022-11-04,1.0
2022-11-09,0.0
2022-11-11,0.0
2022-11-15,0.0
2022-12-07,0.0
2023-01-05,1.0
2023-01-11,-0.5
2023-01-18,0.0
2023-02-03,0.0
2023-03-01,0.0
2023-03-01,0.0
2023-03-03,-1.0
2023-03-17,1.0
2023-03-19,-1.0
2023-03-21,0.0
2023-04-08,0.0
2023-04-17,0.0
2023-04-24,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-05-12,0.0
2023-05-17,0.0
2023-05-19,1.0
2023-05-24,1.0
2023-06-06,0.0
2023-06-07,0.0
2023-06-16,0.0
2023-06-29,1.0
2023-06-30,1.0
2023-07-03,0.0
2023-07-12,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,1.0
2023-07-24,0.0
2023-07-25,0.0
2023-08-01,0.0
2023-08-03,0.0
2023-08-07,0.0
2023-08-21,0.0
2023-08-24,0.0
2023-08-29,0.0
2023-09-05,0.0
2023-09-08,0.0
2023-09-15,0.0
2023-09-26,0.0
2023-10-12,0.0
2023-10-13,0.5
2023-10-15,0.0
2023-10-17,0.0
2023-10-24,1.0
2023-10-25,1.0
2023-10-26,0.0
2023-11-02,1.0
2023-11-05,0.0
2023-11-15,0.0
2023-11-16,-0.5
2023-11-17,0.0
2023-11-30,1.0
2023-12-03,0.0
2023-12-05,0.0
2023-12-18,1.0
2023-12-21,0.0
2023-12-26,0.0
2023-12-27,0.0
