date,avg_sentiment
2020-01-09,0.0
2020-01-21,0.0
2020-04-25,0.0
2020-04-28,0.0
2020-05-02,0.0
2020-05-21,-1.0
2020-05-27,-1.0
2020-06-11,1.0
2020-07-09,0.0
2020-07-11,1.0
2020-08-04,0.0
2020-08-25,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-30,0.0
2020-10-03,1.0
2020-10-16,-1.0
2020-12-07,1.0
2020-12-10,0.0
2020-12-29,0.0
2021-01-13,-1.0
2021-01-29,0.0
2021-02-15,0.0
2021-03-05,0.0
2021-03-11,-1.0
2021-03-15,0.0
2021-03-26,0.0
2021-03-27,0.0
2021-03-31,0.0
2021-05-03,1.0
2021-05-24,0.0
2021-06-18,0.0
2021-06-19,0.5
2021-06-23,0.0
2021-07-09,0.0
2021-07-14,0.0
2021-07-23,0.0
2021-07-24,0.0
2021-08-02,0.0
2021-08-21,0.0
2021-08-24,0.0
2021-09-04,0.0
2021-09-11,0.0
2021-09-14,0.0
2021-09-18,1.0
2021-09-20,0.0
2021-09-27,1.0
2021-10-06,0.0
2021-10-09,0.0
2021-10-11,0.5
2021-10-15,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-08,0.0
2021-11-11,0.0
2021-11-18,0.0
2021-11-20,0.0
2021-11-23,0.0
2021-12-01,0.0
2021-12-01,0.0
2021-12-06,0.0
2021-12-11,0.0
2021-12-14,0.0
2021-12-18,0.0
2021-12-21,0.0
2022-01-01,0.0
2022-01-15,0.0
2022-01-21,0.0
2022-01-22,1.0
2022-01-29,0.0
2022-02-04,0.0
2022-03-02,0.0
2022-03-05,0.0
2022-03-07,1.0
2022-03-12,0.0
2022-03-19,1.0
2022-03-23,0.0
2022-03-25,0.0
2022-04-06,0.0
2022-04-16,0.0
2022-04-21,1.0
2022-04-22,0.0
2022-06-03,0.0
2022-06-09,0.0
2022-06-11,0.0
2022-06-17,0.0
2022-07-05,1.0
2022-07-06,0.0
2022-07-08,0.0
2022-07-18,0.0
2022-08-01,0.0
2022-08-01,0.0
2022-08-04,1.0
2022-08-05,0.0
2022-08-15,0.0
2022-08-23,0.0
2022-08-24,1.0
2022-08-29,1.0
2022-09-04,0.0
2022-09-22,0.0
2022-09-30,0.0
2022-10-06,0.0
2022-10-10,1.0
2022-10-20,1.0
2022-10-21,0.0
2022-10-26,0.0
2022-11-03,0.0
2022-11-17,0.0
2022-11-25,-1.0
2022-12-01,0.0
2022-12-14,0.0
2022-12-16,-1.0
2022-12-19,0.0
2022-12-20,-0.5
2022-12-21,-1.0
2023-01-11,0.0
2023-01-19,0.0
2023-01-20,0.0
2023-01-31,-0.5
2023-02-21,0.0
2023-02-22,1.0
2023-03-08,1.0
2023-03-14,-1.0
2023-03-18,0.0
2023-03-28,0.0
2023-04-03,1.0
2023-04-04,1.0
2023-04-12,0.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-28,0.0
2023-05-03,-1.0
2023-05-09,-1.0
2023-05-10,-1.0
2023-05-17,0.0
2023-05-18,-1.0
2023-05-19,-1.0
2023-05-21,-1.0
2023-05-24,0.0
2023-05-26,0.0
2023-06-15,0.0
2023-06-16,1.0
2023-06-23,1.0
2023-06-30,0.0
2023-07-10,0.0
2023-07-11,1.0
2023-07-18,1.0
2023-07-27,0.0
2023-08-16,0.0
2023-08-17,1.0
2023-08-22,0.0
2023-08-27,0.0
2023-09-11,0.0
2023-09-21,0.0
2023-09-27,0.0
2023-10-05,1.0
2023-10-19,1.0
2023-10-24,0.0
2023-10-26,0.0
2023-10-27,0.0
2023-11-01,1.0
2023-11-01,0.5
2023-11-07,0.0
2023-11-09,0.0
2023-11-15,0.0
2023-11-21,0.0
2023-11-29,0.0
2023-12-04,0.0
2023-12-06,0.0
2023-12-13,0.0
2023-12-15,-1.0
2023-12-19,0.0
2023-12-21,0.0
2023-12-22,0.0
