date,avg_sentiment
2020-01-15,0.0
2020-01-21,-1.0
2020-01-24,-1.0
2020-02-03,0.0
2020-02-04,-1.0
2020-02-12,1.0
2020-03-04,0.0
2020-03-05,-1.0
2020-03-15,1.0
2020-04-21,0.0
2020-06-01,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-04,0.0
2020-06-10,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-23,-1.0
2020-06-24,0.0
2020-07-02,1.0
2020-07-30,1.0
2020-08-28,0.0
2020-09-01,0.0
2020-09-01,0.0
2020-09-11,0.0
2020-09-16,0.0
2020-10-05,-1.0
2020-10-06,-1.0
2020-10-10,-0.3333333333333333
2020-10-13,0.0
2020-10-29,0.0
2020-11-09,0.0
2020-11-22,0.0
2020-11-27,0.0
2020-12-01,0.0
2020-12-01,0.0
2020-12-04,-1.0
2020-12-15,0.0
2020-12-23,0.0
2021-01-16,0.0
2021-01-25,1.0
2021-02-02,0.0
2021-02-16,0.0
2021-02-18,0.0
2021-02-22,0.0
2021-02-24,0.0
2021-03-01,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-11,1.0
2021-03-14,0.0
2021-03-26,0.0
2021-04-01,0.0
2021-04-05,1.0
2021-04-24,0.0
2021-04-27,0.0
2021-04-30,0.0
2021-05-01,0.0
2021-05-01,0.0
2021-05-03,0.0
2021-05-14,0.0
2021-05-16,0.0
2021-05-20,0.0
2021-05-25,-1.0
2021-05-27,0.0
2021-05-28,0.0
2021-06-01,0.0
2021-06-01,0.0
2021-06-11,0.0
2021-06-16,0.0
2021-06-22,0.0
2021-07-15,0.0
2021-07-27,0.0
2021-07-29,-1.0
2021-08-09,-1.0
2021-08-15,0.0
2021-08-17,0.0
2021-08-23,0.0
2021-09-06,0.0
2021-09-07,0.0
2021-09-21,0.0
2021-09-22,-1.0
2021-09-27,0.0
2021-10-05,0.0
2021-10-06,-1.0
2021-10-19,0.0
2021-10-28,-0.5
2021-11-06,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-18,0.0
2021-11-19,-1.0
2021-11-22,0.0
2021-11-27,0.0
2021-12-07,-1.0
2021-12-14,-0.5
2021-12-15,0.0
2021-12-22,0.0
2021-12-23,1.0
2021-12-24,0.0
2022-01-03,0.0
2022-01-07,-1.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-21,0.0
2022-01-24,0.0
2022-02-02,0.0
2022-02-08,0.0
2022-02-17,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-03-08,0.0
2022-03-15,0.0
2022-03-22,-1.0
2022-04-02,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-09,-1.0
2022-04-17,0.0
2022-04-22,0.0
2022-04-28,0.0
2022-06-07,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-20,-1.0
2022-06-29,0.0
2022-07-02,0.0
2022-07-04,0.0
2022-07-18,-1.0
2022-07-22,0.0
2022-07-26,0.0
2022-08-01,0.0
2022-08-01,0.0
2022-08-06,0.0
2022-08-12,-1.0
2022-08-16,0.0
2022-08-19,0.0
2022-08-23,0.0
2022-08-27,0.0
2022-09-09,0.0
2022-09-13,-1.0
2022-09-16,-0.6666666666666666
2022-09-20,0.0
2022-09-23,0.0
2022-10-13,-1.0
2022-10-19,0.0
2022-10-21,0.5
2022-10-28,-1.0
2022-11-01,0.0
2022-11-01,0.0
2022-11-07,0.0
2022-11-11,0.0
2022-11-15,0.0
2022-11-21,-1.0
2022-11-25,0.0
2022-11-30,0.0
2022-12-12,-1.0
2022-12-21,0.0
2023-01-01,0.0
2023-01-05,0.6
2023-01-06,0.0
2023-01-15,0.0
2023-01-30,0.0
2023-01-31,1.0
2023-02-05,0.0
2023-02-13,-1.0
2023-02-14,0.0
2023-02-15,0.0
2023-02-17,0.0
2023-03-02,0.0
2023-03-06,-0.5
2023-03-20,-1.0
2023-03-29,0.0
2023-03-31,-1.0
2023-04-04,0.0
2023-04-10,1.0
2023-04-20,-1.0
2023-04-21,-1.0
2023-04-22,-1.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-26,-0.5
2023-04-27,0.0
2023-05-12,0.0
2023-05-14,0.0
2023-05-16,0.0
2023-05-22,-1.0
2023-06-16,0.0
2023-06-19,0.0
2023-06-26,-1.0
2023-07-17,0.0
2023-07-18,-1.0
2023-07-19,0.0
2023-07-21,1.0
2023-07-22,0.0
2023-08-01,-1.0
2023-08-01,-1.0
2023-08-07,-0.3333333333333333
2023-08-23,0.0
2023-08-28,-1.0
2023-09-01,0.0
2023-09-04,0.0
2023-09-13,1.0
2023-09-14,-1.0
2023-09-15,-0.5
2023-10-01,-1.0
2023-10-01,-1.0
2023-10-31,0.0
2023-11-01,-0.5
2023-11-01,-0.6666666666666666
2023-11-27,0.0
2023-11-29,0.0
2023-12-05,-1.0
2023-12-15,1.0
