date,avg_sentiment
2020-01-04,0.0
2020-01-08,1.0
2020-01-09,0.0
2020-01-15,1.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-25,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-11,0.0
2020-02-14,-1.0
2020-02-18,1.0
2020-02-26,0.0
2020-02-28,0.0
2020-02-29,1.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,1.0
2020-03-25,0.0
2020-03-26,0.0
2020-04-08,-0.5
2020-04-09,1.0
2020-04-14,0.0
2020-04-16,-1.0
2020-04-30,-1.0
2020-05-04,0.0
2020-05-17,0.0
2020-05-20,0.0
2020-05-26,0.0
2020-05-28,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-16,-1.0
2020-07-05,0.0
2020-07-09,0.0
2020-07-15,0.0
2020-07-22,1.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-29,-1.0
2020-08-12,1.0
2020-08-14,0.0
2020-08-17,0.0
2020-08-19,0.0
2020-08-21,1.0
2020-08-24,1.0
2020-08-27,-1.0
2020-08-28,-1.0
2020-09-09,0.0
2020-09-22,0.125
2020-09-25,1.0
2020-09-27,0.0
2020-09-30,1.0
2020-10-01,0.0
2020-10-01,0.0
2020-10-02,1.0
2020-10-08,0.0
2020-10-14,1.0
2020-10-15,0.0
2020-10-19,0.25
2020-10-26,1.0
2020-10-27,0.5
2020-11-04,1.0
2020-11-05,0.0
2020-11-15,1.0
2020-11-18,-0.5
2020-11-30,0.0
2020-12-01,-0.6666666666666666
2020-12-01,-1.0
2020-12-10,0.0
2020-12-22,1.0
2020-12-23,0.0
2021-01-04,1.0
2021-01-06,1.0
2021-01-18,1.0
2021-01-19,0.0
2021-01-25,0.0
2021-01-26,-1.0
2021-02-10,-1.0
2021-02-16,-1.0
2021-02-19,0.5
2021-02-22,0.0
2021-02-23,0.0
2021-03-01,-1.0
2021-03-01,-1.0
2021-03-02,-1.0
2021-03-10,-1.0
2021-03-15,0.0
2021-03-22,1.0
2021-03-25,0.0
2021-03-26,1.0
2021-03-29,1.0
2021-03-30,0.0
2021-04-08,1.0
2021-04-09,-1.0
2021-04-12,0.0
2021-04-21,0.0
2021-04-23,0.0
2021-04-26,0.0
2021-04-27,0.0
2021-05-04,-0.3333333333333333
2021-05-05,0.0
2021-05-11,0.0
2021-05-20,0.0
2021-05-26,0.0
2021-05-27,1.0
2021-06-02,1.0
2021-06-09,0.0
2021-06-14,0.0
2021-06-21,0.0
2021-06-30,1.0
2021-07-01,0.5
2021-07-01,0.5
2021-07-06,1.0
2021-07-08,0.0
2021-07-09,0.0
2021-07-15,0.0
2021-07-22,0.0
2021-08-03,0.3333333333333333
2021-08-06,0.0
2021-08-12,1.0
2021-08-17,0.0
2021-08-18,-1.0
2021-08-19,-1.0
2021-08-27,-1.0
2021-08-31,0.0
2021-09-01,0.0
2021-09-10,1.0
2021-09-20,0.5
2021-09-21,0.6666666666666666
2021-09-22,0.0
2021-09-23,1.0
2021-09-29,0.0
2021-10-05,-1.0
2021-10-07,-1.0
2021-10-08,0.0
2021-10-12,0.0
2021-10-20,1.0
2021-10-22,0.5
2021-10-23,-1.0
2021-11-03,1.0
2021-11-08,0.0
2021-11-16,0.0
2021-11-19,0.0
2021-11-22,1.0
2021-11-24,1.0
2021-12-01,0.0
2021-12-01,0.0
2021-12-02,0.0
2021-12-07,-1.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-26,0.0
2022-01-03,1.0
2022-01-06,0.0
2022-01-07,-1.0
2022-01-11,0.0
2022-01-20,0.0
2022-01-23,-1.0
2022-01-26,-1.0
2022-01-31,0.0
2022-02-04,0.5
2022-02-14,0.0
2022-02-15,0.0
2022-02-21,0.5
2022-02-23,1.0
2022-03-01,0.0
2022-03-01,0.0
2022-03-03,0.0
2022-03-05,-1.0
2022-03-07,0.3333333333333333
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,-1.0
2022-03-11,0.0
2022-03-14,0.0
2022-03-15,-1.0
2022-03-17,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-26,0.0
2022-03-28,0.0
2022-03-31,-1.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-20,1.0
2022-04-21,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-05-04,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-15,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-21,1.0
2022-05-22,0.0
2022-05-23,1.0
2022-05-25,0.0
2022-05-26,-1.0
2022-06-01,0.3333333333333333
2022-06-01,0.5
2022-06-06,1.0
2022-06-08,0.0
2022-06-13,1.0
2022-06-20,0.0
2022-07-06,0.0
2022-07-13,0.0
2022-07-14,0.5
2022-07-15,0.0
2022-07-17,0.0
2022-07-18,1.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-23,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-08-09,0.0
2022-08-16,0.0
2022-08-18,0.0
2022-08-22,-1.0
2022-08-24,0.0
2022-08-25,0.0
2022-08-29,0.5
2022-09-02,0.0
2022-09-06,0.0
2022-09-12,0.0
2022-09-13,0.0
2022-09-19,0.0
2022-09-27,0.0
2022-09-30,1.0
2022-10-03,0.0
2022-10-10,-1.0
2022-10-17,0.0
2022-10-18,-1.0
2022-10-20,1.0
2022-10-31,1.0
2022-11-03,0.0
2022-11-07,1.0
2022-11-08,1.0
2022-11-15,0.0
2022-11-21,-1.0
2022-11-22,1.0
2022-11-29,1.0
2022-11-30,1.0
2022-12-06,0.0
2022-12-10,0.0
2022-12-12,1.0
2022-12-15,0.0
2022-12-23,1.0
2022-12-25,-1.0
2022-12-28,0.0
2023-01-04,-0.5
2023-01-06,0.0
2023-01-12,1.0
2023-01-19,1.0
2023-01-26,0.0
2023-02-01,0.0
2023-02-01,0.0
2023-02-02,0.16666666666666666
2023-02-06,0.0
2023-02-13,-1.0
2023-02-16,0.0
2023-02-19,0.0
2023-02-21,1.0
2023-02-28,0.0
2023-03-01,0.0
2023-03-01,0.0
2023-03-05,0.0
2023-03-06,-1.0
2023-03-07,-0.5
2023-03-08,0.0
2023-03-09,0.0
2023-03-11,0.0
2023-03-12,-1.0
2023-03-13,0.0
2023-03-14,0.2
2023-03-15,1.0
2023-03-16,-0.3333333333333333
2023-03-20,1.0
2023-03-23,0.0
2023-03-24,-0.6666666666666666
2023-03-27,1.0
2023-03-30,0.0
2023-03-31,0.0
2023-04-01,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,-1.0
2023-04-06,-1.0
2023-04-10,0.0
2023-04-12,0.0
2023-04-13,1.0
2023-04-14,-1.0
2023-04-17,0.0
2023-04-21,0.0
2023-04-24,0.0
2023-04-25,1.0
2023-04-26,1.0
2023-05-02,0.0
2023-05-03,0.0
2023-05-08,0.0
2023-05-09,0.0
2023-05-11,0.0
2023-05-16,0.0
2023-05-26,-0.3333333333333333
2023-05-29,0.0
2023-05-31,0.5
2023-06-01,0.0
2023-06-01,0.0
2023-06-02,1.0
2023-06-06,0.5
2023-06-10,0.0
2023-06-12,1.0
2023-06-15,0.0
2023-06-27,0.0
2023-06-28,-1.0
2023-06-29,-0.5
2023-07-06,1.0
2023-07-07,1.0
2023-07-11,1.0
2023-07-12,0.0
2023-07-13,1.0
2023-07-18,0.0
2023-07-20,-1.0
2023-07-21,0.0
2023-07-31,1.0
2023-08-01,-1.0
2023-08-01,-1.0
2023-08-04,0.0
2023-08-06,-1.0
2023-08-07,-1.0
2023-08-08,0.0
2023-08-09,0.0
2023-08-17,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-09-01,-1.0
2023-09-01,-1.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.5
2023-09-08,0.0
2023-09-13,1.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,-1.0
2023-09-19,0.0
2023-09-27,0.0
2023-09-30,0.0
2022-11-4,1.0
2022-11-5,-1.0
2022-11-6,1.0
2022-11-7,1.0
2022-11-8,1.0
2022-11-9,0.5
2022-11-10,0.0
2022-11-11,-1.0
2022-11-12,1.0
2022-11-13,0.5
2022-11-14,0.3333333333333333
2022-11-15,0.3333333333333333
2022-11-16,0.25
2022-11-17,0.25
2022-11-18,0.5
2022-11-20,0.0
2022-11-21,0.5
2022-11-22,0.75
2022-11-23,0.0
2022-11-24,0.0
2022-11-25,0.0
2022-11-28,1.0
2022-11-29,1.0
2023-11-07,-1.0
2023-11-09,-1.0
2023-11-10,-0.5
2023-11-22,-1.0
2023-11-27,-1.0
2023-11-30,-1.0
2023-12-01,0.5
2023-12-01,0.5
2023-12-08,-1.0
2023-12-11,0.0
2023-12-12,0.0
2023-12-14,0.0
2023-12-21,-1.0
2023-12-22,1.0
2023-12-24,-1.0
2023-12-26,0.0
2023-12-27,0.0
